signal_id,familia,versao,coorte,symbol,bar_utc,dia_br,hora_br,hora_utc,dow_br,regime,trend,vol,custo_id,custo_medido,r_gross,r_exf,r_net,motivo,p_entry,risk,risco_pct
f657e7b3-4037-5e1c-acf8-5b3511a856ba,breakout,breakout v2,replay,SOLUSDT,2026-08-19T21:00:00Z,2026-08-19,18,21,3,HIGH_VOLATILITY,up,high,0.087191,0.087781,0.642116,0.554336,0.554336,target,83.82026200000000,1.9226835421,0.022938
932f9168-31ba-5a49-9372-e13f794fe2d2,breakout,breakout v2,replay,SOLUSDT,2026-08-23T11:30:00Z,2026-08-23,8,11,7,BTC_BULL,up,normal,0.090128,0.090703,0.629555,0.538852,0.538852,target,94.45664000000000,2.0960559866,0.022191
193186c1-ce0d-5da9-9f79-5b9198baf5e5,breakout,breakout v2,replay,XRPUSDT,2026-08-23T21:30:00Z,2026-08-23,18,21,7,BTC_BULL,up,normal,0.057285,0.056269,-0.982825,-1.039093,-1.041924,stop,1.53772208000000,0.0536862828,0.034913
ebf49237-6d15-5f8b-8764-5716a242b53c,breakout,breakout v2,replay,XRPUSDT,2026-08-24T11:45:00Z,2026-08-24,8,11,1,HIGH_VOLATILITY,flat,high,0.069871,0.068905,-0.923501,-0.992407,-0.995888,invalidated,1.50560282000000,0.0430968574,0.028624
a0b65a91-dcb6-5c35-b164-666179320eec,breakout,breakout v2,replay,SOLUSDT,2026-08-26T21:15:00Z,2026-08-26,18,21,3,BTC_BULL,up,normal,0.108610,0.109207,0.662402,0.553195,0.553195,target,97.56850600000000,1.7966817585,0.018415
d5812cf5-2376-5071-be6a-6bca13ecd7e0,breakout,breakout v2,replay,XRPUSDT,2026-08-27T08:15:00Z,2026-08-27,5,8,4,SIDEWAYS,flat,normal,0.110359,0.111323,1.029922,0.918600,0.918600,target,1.42195266000000,0.0257695549,0.018123
3a545b88-8874-5f3b-b0b1-ffabf25a0fd5,breakout,breakout v2,replay,DOGEUSDT,2026-08-31T05:30:00Z,2026-08-31,2,5,1,BTC_BEAR,down,normal,0.099135,0.099082,0.005978,-0.093103,-0.095645,expired,0.08290971600000,0.0016726613,0.020174
254a3aeb-c91a-525b-86aa-7c4df85e4633,breakout,breakout v2,replay,DOGEUSDT,2026-09-06T03:45:00Z,2026-09-06,0,3,7,BTC_BULL,up,low,0.107273,0.106241,-0.967837,-1.074079,-1.079398,stop,0.09157491200000,0.0017073191,0.018644
bdbd0840-a0ea-5e41-9755-2dd41a2891ec,mean_reversion,mean_reversion v1,prospective,ACUUSDT,2026-09-08T17:30:00Z,2026-09-08,14,17,2,SIDEWAYS,flat,normal,0.162165,0.161117,-0.951380,-1.112496,-1.112496,stop,0.15121067200000,0.0018648976,0.012333
4c0aedad-f70a-56c3-9eae-c1abbc45e2fc,mean_reversion,mean_reversion v1,prospective,PROMUSDT,2026-09-08T17:45:00Z,2026-09-08,14,17,2,SIDEWAYS,flat,normal,0.144781,0.143738,-0.956592,-1.100330,-1.100330,stop,5.97858500000000,0.0825879654,0.013814
56ff6f8a-82b9-5ca3-9a12-3cd8c1428411,mean_reversion,mean_reversion v1,prospective,EPICUSDT,2026-09-08T18:15:00Z,2026-09-08,15,18,2,SIDEWAYS,flat,normal,0.129089,0.130662,1.650459,1.519797,1.519797,target,0.38693202000000,0.0059947936,0.015493
2f2d079b-299d-52b1-bd2e-1ecb4e01f64b,mean_reversion,mean_reversion v1,prospective,RIVERUSDT,2026-09-08T18:15:00Z,2026-09-08,15,18,2,SIDEWAYS,flat,normal,0.202087,0.201026,-0.939410,-1.140437,-1.140437,stop,1.25975540000000,0.0124674693,0.009897
