versao,coorte,dia_utc,hora_utc,hora_brt,mercado,motivo,r_net,atr_pct,risco_pct,r_bruto,custo_r
mean_reversion v1,replay:d0f77894,2026-08-20,3,0,DOGEUSDT,expired,0.1093816837,0.006332945768169818798413613202,0.00851876199163757249,0.34436107949685089619,0.2349793957809193595553813494
mean_reversion v1,replay:d0f77894,2026-08-20,3,0,XRPUSDT,target,0.6062038960,0.00643980810695267685315975585,0.00912050377952888665,0.82618452192447703839,0.2199806259248238765161289970
mean_reversion v1,replay:d0f77894,2026-08-20,13,10,ETHUSDT,target,1.3228758699,0.007233907322433574602936196663,0.00717864894573201511,1.6029152950522596,0.280039425152904472410783605
mean_reversion v1,replay:d0f77894,2026-08-20,19,16,XRPUSDT,target,1.6753530335,0.01741948080326172194446009916,0.01577142933117265524,1.80389203936030722594,0.128539005871319232740924365
mean_reversion v1,replay:d0f77894,2026-08-20,21,18,ETHUSDT,target,1.2616527722,0.006032412939617125843666402209,0.00604515673120877170,1.5938912597608171,0.332238487581284251029831749
mean_reversion v1,replay:d0f77894,2026-08-21,11,8,ETHUSDT,target,1.0052476043,0.008688890374173693118066790199,0.01011330387615589678,1.2040921334104804,0.198844529074784732890038448
mean_reversion v1,replay:d0f77894,2026-08-21,11,8,SOLUSDT,target,1.0649814889,0.009248913444825570987291047095,0.01049924777708212143,1.2566134125474709,0.191631923679280877969049912
mean_reversion v1,replay:d0f77894,2026-08-21,12,9,DOGEUSDT,target,1.6053631043,0.01048124580649304986903512841,0.00952343892892063989,1.81706197274620329151,0.211698868467608925156595073
mean_reversion v1,replay:d0f77894,2026-08-21,18,15,XRPUSDT,stop,-1.0978207788,0.01314623338183249375520913074,0.01416466674901685278,-0.95766647909933371381,0.140154299696409937434963610
mean_reversion v1,replay:d0f77894,2026-08-21,20,17,SOLUSDT,target,2.1334352649,0.006235895485909628526412857445,0.00453355593696123923,2.5769018223307739,0.443466557438042447811360995
mean_reversion v1,replay:d0f77894,2026-08-21,20,17,XRPUSDT,target,1.6883550861,0.0120106895109463363957524398,0.01065659465302127135,1.87779710821175295924,0.189442022081350535777302459
mean_reversion v1,replay:d0f77894,2026-08-22,5,2,DOGEUSDT,expired,0.9224815885,0.03564523392344247034340537683,0.02161105789146356111,1.02078956526222176396,0.0935102657919496822968347790
mean_reversion v1,replay:d0f77894,2026-08-22,5,2,ETHUSDT,stop,-1.1880147026,0.01050922790584598549891946864,0.00740557087963314041,-0.91902849549119663735,0.268986207100692263407972365
mean_reversion v1,replay:d0f77894,2026-08-22,8,5,XRPUSDT,stop,-1.0498866359,0.03116431526144051280803910722,0.02750754845501187351,-0.97820088486434263444,0.071685751002205909998172006
